ticker,company_name
AAPL,Apple Inc.
MSFT,Microsoft Corporation
TSLA,Tesla Inc.
GOOGL,Alphabet Inc.
BRK.B,Berkshire Hathaway Inc.
JPM,JPMorgan Chase & Co.
GS,Goldman Sachs Group Inc.
XOM,Exxon Mobil Corporation
WMT,Walmart Inc.
UNH,UnitedHealth Group Incorporated
NVDA,NVIDIA Corporation
AMZN,Amazon.com Inc.
META,Meta Platforms Inc.
JNJ,Johnson & Johnson
PG,Procter & Gamble Co.
HD,Home Depot Inc.
BAC,Bank of America Corp.
CVX,Chevron Corporation
KO,Coca-Cola Company
PEP,PepsiCo Inc.
ABBV,AbbVie Inc.
MRK,Merck & Co. Inc.
COST,Costco Wholesale Corp.
AVGO,Broadcom Inc.
ORCL,Oracle Corporation
AMD,Advanced Micro Devices
NFLX,Netflix Inc.
CRM,Salesforce Inc.
DIS,Walt Disney Company
INTC,Intel Corporation
